Name,Start,End,Tclocation
Eletu 2,"6.863591655381392, 3.4106579437641225","6.836577730837215, 3.4167688168937285",75
Benin-Sagamu > Abeokuta-Sagamu,"6.870256556466421, 3.6650782565170896","6.956732773748103, 3.53190171602927",159
Abeokuta-Sagamu > Benin-Sagamu,"6.956659148770637, 3.531820728554058","6.8699951877964205, 3.664919962815535",159
Benin-Sagamu > Abeokuta-Sagamu,"6.870256556466421, 3.6650782565170896","6.956732773748103, 3.53190171602927",161
Abeokuta-Sagamu > Benin-Sagamu,"6.956659148770637, 3.531820728554058","6.8699951877964205, 3.664919962815535",161
BALE 1,"6.88701360133748, 3.5252975555506434","6.882780165133233, 3.386508030843328",158
BALE 2,"6.882741512020064, 3.3865172339655114","6.886952860731069, 3.525289272740678",158
Ofada 1,"6.809904321813803, 3.4368951247960324","6.841010874792821, 3.436018987564198",74
Ofada 2,"6.840937249815355, 3.435906709473562","6.809836218709643, 3.436777324832087",74
Kori 1,"6.832740949199045, 3.4753568130238195","6.886951020106632, 3.5097912149842636",157
Kori 2,"6.886969426350994, 3.509735996251164","6.832731746076864, 3.4752371724354365",157
Isefun rd 1,"6.5641377048496325, 3.2028965401674494","6.598942992634057, 3.2347080523056984",150
Isefun rd 2,"6.598961398878424, 3.2345976148395015","6.564103883375609, 3.202783341764597",150
Iganmode rd 1,"6.665148643073267, 3.2223666654581176","6.6302338381348385, 3.2051770738444327",136
Iganmode rd 2,"6.630207609236617, 3.2051384207312634","6.665144501668287, 3.2223390560915695",136
Ado odorota 1,"6.630146178396052, 3.2053661980052968","6.599229209733984, 3.2348281530502088",135
Ado odorota 2,"6.599374158908368, 3.2348350553918475","6.630205538534133, 3.205422797206723",135
Ifelodun St 1,"6.558172701206641, 3.30007460807986","6.587239842309897, 3.3079432775464532",115
Ifelodun St 2,"6.587184623576798, 3.3078107525870166","6.558192027763233, 3.3000304330933825",115
Ikoga 1,"6.58005374398361, 2.932981547614473","6.4587810898625255, 2.9607834006206475",2
Ikoga 2,"6.458779451906122, 2.96081779770511","6.5800930549372785, 2.9329840045490765",2
Ota Agbara rd 1,"6.4991272319810065, 3.085351623024545","6.5830790494599265, 3.083726770272778",3
Ota Agbara rd 2,"6.583534467788501, 3.0834126680449105","6.4978349940191, 3.085566198635765",3
Etegebin 1,"6.464368990590389, 3.1142702765688703","6.458076815953773, 3.157832335110546",4
Etegebin 2,"6.458112017896125, 3.157859944477096","6.464397980425267, 3.1142757984421805",4
Era rd 1,"6.464793829718173, 3.145489826632439","6.4939456970650005, 3.141283712197176",5
Era rd 2,"6.493908424420159, 3.141182247775107","6.4647720873420145, 3.145422269963662",5
Ilogbo rd 1,"6.465138084007339, 3.146348650490665","6.4632703103602696, 3.169748623992543",6
Ilogbo 2,"6.463284805277708, 3.169793144096104","6.465179498057162, 3.146354344922514",6
Lasu rd 1,"6.461390112498253, 3.204101060646036","6.5388343856693725, 3.221817991160798",9
Lasu rd 2,"6.538869587611725, 3.22170203182129","6.4613880417957565, 3.203943687256704",9
Lasu rd 1,"6.461390112498253, 3.204101060646036","6.5388343856693725, 3.221817991160798",151
Lasu rd 2,"6.538869587611725, 3.22170203182129","6.4613880417957565, 3.203943687256704",151
Olojo Drive 1,"6.463164704533212, 3.169903409003761","6.459136670512194, 3.211834099099447",8
Olojo Drive 2,"6.459193614830697, 3.2118299576944627","6.46322941398606, 3.16991479786746",8
Lagos badagry Express way 1,"6.494052338243289, 3.141210719934354","6.456997117163148, 3.2666476647441707",164
Lagos Badagry 2,"6.457303581131847, 3.266548271024591","6.4941662268803055, 3.1412583460916492",164
Lagos badagry Express way 1,"6.494052338243289, 3.141210719934354","6.456997117163148, 3.2666476647441707",10
Lagos Badagry 2,"6.457303581131847, 3.266548271024591","6.4941662268803055, 3.1412583460916492",10
Ogunlana Dr,"6.4801558538248, 3.3493639464579057","6.5120695206192725, 3.352908989122851",97
Ogunlana Dr,"6.512015682354501, 3.3528013125933085","6.480085449940094, 3.3492852597632403",97
Cementry rd 1,"6.465091493201268, 3.3266545522368447","6.46664037866469, 3.3499644501803574",13
Cementry rd 2,"6.4667418430867585, 3.349947884560428","6.465201240433302, 3.326777759035073",13
Ojo rd 1,"6.4630849824872865, 3.323558852012491","6.459705078346015, 3.3384135540087834",14
Ojo rd,"6.459775999906339, 3.33841873076501","6.463130537942092, 3.3236359856802857",14
Osese 1,"6.785619673220103, 3.4509614111620834","6.772731620914834, 3.476223981554803",60
Osese2,"6.772762681452204, 3.4763554711629943","6.785667299377403, 3.4509189617610145",60
Kayoju 1,"6.749980812643951, 3.488688575200621","6.728031366237164, 3.5030426848696647",59
Kayoju 2,"6.728221870866352, 3.50299920011735","6.749940951620993, 3.4886694212025784",59
Akute Ijoko rd 1,"6.674586017263494, 3.317505153279445","6.693858045349154, 3.3563970874692863",64
Akute Ijoko rd 2,"6.693940873448803, 3.356401228874269","6.674820006645002, 3.3175714157591645",64
Oloki,"6.875959763830837, 3.321601002807051","6.771335449760135, 3.333950672464606",156
Oloki,"6.771352015380065, 3.3338968341998334","6.875943198210908, 3.3215658008646964",156
Sakoto rd 1,"6.763207942482147, 3.0328084091684353","6.713233608559366, 3.079515174560089",147
Sakoto rd,"6.713244479747445, 3.0795446820705883","6.763180505674132, 3.032786149116654",147
Igbogun,"6.815933722340112, 3.096884744731953","6.790352263763746, 3.0354428604128714",154
Igobogun,"6.790395748516063, 3.0354376836566432","6.8159420051500765, 3.096857825599566",154
